,text,author
227,"      “Do not let your fire go out, spark by irreplaceable spark in the hopeless swamps of the not-quite, the not-yet, and the not-at-all. Do not let the hero in your soul perish in lonely frustration for the life you deserved and have never been able to reach. The world you desire can be won. It exists.. it is real.. it is possible.. it's yours.”  ","    Ayn Rand,  "
228,      “It is so hard to leave—until you leave. And then it is the easiest goddamned thing in the world.”  ,"    John Green,  "
229,      “Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.”  ,"    Roy T. Bennett,  "
230,      “Fantasy is hardly an escape from reality. It's a way of understanding it.”  ,    Lloyd Alexander  
231,"      “The world is indeed full of peril, and in it there are many dark places; but still there is much that is fair, and though in all lands love is now mingled with grief, it grows perhaps the greater.”  ","    J.R.R. Tolkien,  "
232,      “Waiting is painful. Forgetting is painful. But not knowing which to do is the worst kind of suffering.”  ,"    Paulo Coelho,  "
233,"      “It is not the critic who counts; not the man who points out how the strong man stumbles, or where the doer of deeds could have done them better. The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood; who strives valiantly; who errs, who comes short again and again, because there is no effort without error and shortcoming; but who does actually strive to do the deeds; who knows great enthusiasms, the great devotions; who spends himself in a worthy cause; who at the best knows in the end the triumph of high achievement, and who at the worst, if he fails, at least fails while daring greatly, so that his place shall never be with those cold and timid souls who neither know victory nor defeat.”  ",    Theodore Roosevelt  
234,"      “Do not go where the path may lead, go instead where there is no path and leave a trail.”  ",    Ralph Waldo Emerson  
235,      “Hell is empty and all the devils are here.”  ,"    William Shakespeare,  "
236,"      “Instead of worrying about what you cannot control, shift your energy to what you can create.”  ","    Roy T. Bennett,  "
237,      “Never let your sense of morals prevent you from doing what is right.”  ,"    Isaac Asimov,  "
238,      “I can be changed by what happens to me. But I refuse to be reduced by it.,"    Maya Angelou,  "
239,"      “If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have to keep moving forward.”  ",    Martin Luther King Jr.  
